6 bestial
3 bestow
3 bet
14 betray
4 betrayal
12 betrothed
4 betterment
4 betty
4 bevel
4 beverage
17 bevy
5 beware
9 bewildered
8 bewilderment
16 bias
3 biased
11 bib
7 biblical
4 bickering
4 bicolor
3 bicycle
14 bid
6 bidder
6 bidding
3 biennial
5 bier
15 bifurcation
14 big
32 bigot
14 bigoted
5 bike
13 bilateral
5 bilayer
5 bile
33 bilge
3 bilingual
15 bill
7 billet
3 billiards
5 billion
7 billy
5 bin
5 binary
6 bind
4 bindery
7 binding
3 bing
4 binocular
4 binoculars
5 binomial
16 biographer
10 biography
21 biology
3 biopsy
6 biosphere
5 bipartite
7 birch
6 bird
24 birth
4 birthplace
5 birthright
4 bis
9 bisexual
9 bishop
5 bison
8 bit
9 bitch
17 bite
5 bitterly
8 bitterness
5 bitumen
13 bizarre
28 black
5 blackberry
5 blackboard
5 blackjack
5 blackmail
15 blackness
4 blacksmith
5 bladder
8 blade
14 blame
4 blameless
66 bland
5 blank
9 blanket
4 blasphemous
5 blasphemy
15 blast
7 blatant
5 blather
43 blaze
18 blazing
14 bleach
5 bleak
11 bleeding
12 blemish
17 blend
3 blending
10 bless
5 blessed
10 blessing
4 blessings
14 blight
4 blighted
5 blind
16 blinded
14 blindfold
10 blindfolded
5 blindly
9 blindness
20 blink
5 bliss
4 blissful
16 blister
5 blitz
5 blizzard
10 bloated
5 blob
16 block
13 blockade
6 blond
19 blood
5 bloodhound
4 bloodless
4 bloodshed
5 bloodthirsty
16 bloody
9 bloom
9 blossom
7 blot
5 blouse
4 blower
5 blowing
5 blown
4 blowout
3 blue
5 blues
14 bluff
4 bluish
64 blunder
9 blunt
8 blur
5 blurred
20 blush
19 blushing
4 boa
8 boar
12 board
5 boarder
5 boarding
3 boards
24 boast
23 boasting
4 boat
4 boating
4 bobbin
3 bode
4 bodice
10 bodily
21 body
11 bodyguard
21 bog
8 bogus
9 boil
5 boiler
4 boilerplate
10 boiling
19 boisterous
9 bold
17 boldness
15 bolster
23 bolt
11 bolus
38 bomb
5 bombard
5 bombardment
3 bombed
4 bomber
3 bonanza
14 bond
5 bondage
11 bonds
11 bone
3 boner
5 bones
10 bonfire
3 bonne
6 bonnet
28 bonus
5 bony
3 boo
3 boob
4 booby
43 book
3 bookcase
4 booking
5 bookish
10 bookkeeper
5 bookkeeping
4 books
4 bookstore
4 bookworm
8 boomerang
5 booming
3 boon
8 boost
3 booster
4 boot
10 booth
4 boots
3 booty
5 booze
23 border
4 bordering
7 bore
5 boreal
9 boredom
8 borer
5 boring
5 borough
9 borrow
5 borrower
7 bosom
23 boss
3 boston
5 botanical
4 botanist
8 botany
9 bother
3 bothering
9 bottle
28 bottom
4 bottomless
4 boulder
6 bounce
12 bound
5 boundary
3 boundless
7 bounds
5 bountiful
6 bounty
4 bouquet
4 bourgeoisie
4 bourse
11 bout
8 bovine
9 bowed
3 bowels
9 bowl
3 bowls
13 box
5 boxer
4 boxing
10 boy
4 boycott
4 boyhood
3 boyish
3 brace
4 bracelet
3 braces
4 brachial
9 bracket
3 brackets
5 brackish
5 brad
4 brag
48 braid
5 brain
9 brains
5 brainstorm
3 brake
4 bran
4 branch
7 branching
4 brandy
9 brass
5 brat
5 bravado
5 bravery
36 brawl
4 brazen
22 breach
4 bread
5 breadth
9 break
5 breakable
5 breakdown
4 breaker
7 breakers
12 breakfast
5 breakneck
5 breakup
27 breath
5 breech
5 breeches
18 breed
4 breeder
4 breeding
4 breeze
4 breezy
